n,BX,BY
49,293,144
46,334,142
47,376,142
,418,142
44,461,140
45,503,140
42,545,139
43,588,139
38,629,138
39,672,138
40,715,138
32,757,137
33,798,137
34,841,137
35,883,137
36,924,137
37,966,137
27,1007,136
28,1048,136
,1088,136
29,1130,136
110,293,182
,334,182
109,374,180
106,418,179
107,460,179
105,500,178
,545,177
103,588,177
104,630,177
100,672,176
101,715,176
102,757,176
95,799,175
96,841,175
97,882,175
,924,175
89,966,174
90,1007,174
91,1048,174
,1088,174
93,1129,174
170,294,220
,324,220
168,376,219
167,419,218
,460,218
166,503,217
,545,216
164,588,216
162,631,215
158,673,214
159,715,214
160,757,214
161,799,214
,840,214
156,882,213
157,924,213
151,965,212
152,1007,212
148,1048,212
,1088,212
154,1130,212
,294,259
223,336,258
222,377,257
220,419,256
221,461,256
218,503,255
215,546,254
216,588,254
212,631,253
213,673,253
214,715,253
210,756,252
211,799,252
186,820,232
208,882,251
209,924,251
182,965,250
,1006,250
207,1047,250
203,1088,249
204,1130,249
,294,298
273,336,296
,376,295
269,419,294
270,462,294
,503,293
268,544,293
266,589,292
263,631,291
264,673,291
265,715,291
261,757,290
262,799,290
,840,289
260,883,289
258,924,288
,965,288
259,1006,288
,1046,287
,1088,287
,1129,286
,294,335
325,336,334
,378,333
324,419,333
319,462,330
322,504,331
323,547,331
320,589,330
321,631,330
317,673,329
318,715,329
314,757,328
315,799,328
,840,327
313,881,327
,923,327
310,965,326
311,1006,326
308,1047,325
,1089,324
307,1130,324
376,295,373
375,336,372
,377,372
,419,370
373,462,370
374,504,370
372,547,369
370,588,368
371,631,368
367,674,367
368,716,367
365,758,366
366,799,366
363,841,365
364,882,365
362,924,364
359,966,363
360,1007,363
361,1047,363
357,1088,362
358,1129,362
425,295,411
,336,410
424,378,410
423,420,409
421,462,408
422,504,408
420,547,407
418,589,406
419,632,406
416,673,405
417,716,405
414,758,404
415,799,404
411,841,403
412,883,403
410,924,402
408,965,401
409,1006,401
,1047,400
407,1088,400
405,1126,399
480,295,449
481,336,449
478,378,448
,419,448
477,462,447
475,504,446
476,547,446
474,588,445
472,631,444
473,674,444
470,716,443
471,758,443
469,799,442
467,841,441
468,883,441
465,924,440
463,965,439
464,1007,439
462,1047,438
461,1088,437
,1128,437
531,294,487
532,336,487
530,378,486
528,420,485
529,462,485
526,504,484
527,547,484
525,589,483
523,631,482
524,673,482
522,715,481
520,758,480
521,799,480
519,840,479
517,882,478
518,924,478
,963,477
516,1006,476
514,1047,475
515,1088,475
,1128,473
583,295,525
584,336,525
,378,524
581,420,523
582,462,523
579,504,522
577,547,521
578,588,521
576,632,520
575,674,519
,715,518
574,758,518
573,799,517
571,841,516
572,882,516
570,924,515
569,965,514
,1004,513
568,1047,513
567,1088,512
565,1128,511
,294,563
639,336,562
,377,562
637,420,561
638,462,561
636,504,560
634,547,559
635,589,559
633,631,558
632,673,557
629,715,556
630,757,556
628,799,555
,840,553
,882,553
626,924,552
624,965,551
625,1005,551
623,1047,550
622,1087,549
620,1128,548
700,295,601
,335,600
697,378,600
694,420,599
695,462,599
693,504,598
691,546,597
692,589,597
690,631,596
689,673,595
688,715,594
685,757,593
686,799,593
683,840,592
682,882,591
681,923,590
679,964,589
678,1006,588
675,1046,587
676,1087,587
673,1128,584
752,294,639
749,336,638
750,377,638
,419,637
748,462,637
747,504,636
745,547,635
746,589,635
,630,634
744,673,633
743,715,632
741,757,631
742,798,631
739,840,629
740,882,629
738,922,628
737,964,627
736,1005,626
735,1046,625
734,1087,624
733,1127,623
800,294,676
801,336,676
802,377,676
799,419,675
797,462,674
798,504,674
796,546,673
794,589,672
795,631,672
792,673,670
793,715,670
791,757,669
790,798,668
789,691,668
787,881,666
786,922,665
,964,664
785,1004,663
784,1045,662
783,1085,661
,1126,660
